"","id","crop_id","name","desc","stir"
"1","4825","Wheat (winter)","4825: managements\CMZ 02\a.Single Year/Single Crop Templates\Winter wheat\Wheat, winter; NT, Z2","Aug 25 - Sprayer, kill crop<br/>Sep 15 - Drill or air seeder single disk openers, + fert. opnrs 7-10 in spac.<br/>Apr 15 - Fert applic. surface broadcast<br/>May 31 - Sprayer, post emergence<br/>Jun 30 - Sprayer, fungicide<br/>Aug 1 - Harvest, killing crop 50pct standing stubble<br/>",6.35
"2","4833","Wheat (winter)","4833: managements\CMZ 03\a.Single Year/Single Crop Templates\Wheat, winter\Wheat, winter; CT, Z3","Sep 1 - Disk, tandem heavy primary op.<br/>Sep 2 - Fert applic. surface broadcast<br/>Sep 5 - Cultivator, field 6-12 in sweeps, coil tine har<br/>Sep 10 - Cultipacker, roller<br/>Sep 15 - Drill or airseeder, double disk opener, w/ fert openers<br/>May 15 - Sprayer, post emergence<br/>Jun 1 - Sprayer, fungicide<br/>Jul 20 - Harvest, killing crop 50pct standing stubble<br/>",117.35
"3","4870","Wheat (winter)","4870: managements\CMZ 04\a.Single Year/Single Crop Templates\SMALL GRAINS\Winter Wheat\winter wheat; Fdisk, fcult, z4","Sep 15 - Disk, tandem light finishing<br/>Sep 15 - Fert applic. surface broadcast<br/>Sep 20 - Cultivator, field 6-12 in sweeps<br/>Sep 20 - Drill or airseeder, double disk<br/>May 5 - Fert applic. surface broadcast<br/>Jul 20 - Harvest, killing crop 50pct standing stubble<br/>",52.11
"4","4882","Wheat (winter)","4882: managements\CMZ 04\a.Single Year/Single Crop Templates\SMALL GRAINS\Winter Wheat\winter wheat; Ffcult, z4","Sep 20 - Drill or airseeder, double disk<br/>Sep 20 - Cultivator, field 6-12 in sweeps<br/>Sep 20 - Fert applic. surface broadcast<br/>May 5 - Fert applic. surface broadcast<br/>Jul 20 - Harvest, killing crop 50pct standing stubble<br/>",32.61
"5","4895","Wheat (winter)","4895: managements\CMZ 05\a.Single Year/Single Crop Templates\wheat\Wheat, winter after beans\Wheat, winter; after beans, MT sweep, Z5","Oct 1 - Chisel, sweep shovel<br/>Oct 2 - Cultivator, field 6-12 in sweeps<br/>Oct 2 - Drill or airseeder, double disk<br/>Apr 15 - Sprayer, post emergence and fert. tank mix<br/>Jul 10 - Harvest, killing crop 50pct standing stubble<br/>",78.14
"6","4904","Wheat (winter)","4904: managements\CMZ 06\a.Single Year/Single Crop Templates\wheat,winter,NT,cm6","Sep 24 - Fert applic. surface broadcast<br/>Sep 25 - Drill or air seeder single disk openers 7-10 in spac.<br/>May 1 - Sprayer, post emergence<br/>Aug 1 - Harvest, killing crop 50pct standing stubble<br/>",2.8
"7","4905","Wheat (winter)","4905: managements\CMZ 06\a.Single Year/Single Crop Templates\wheat,winter-fallow,NT,cm6","Jun 1 - Sprayer, post emergence<br/>Aug 1 - Sprayer, post emergence<br/>Sep 24 - Fert applic. surface broadcast<br/>Sep 25 - Drill or airseeder, double disk<br/>May 1 - Sprayer, post emergence<br/>Aug 1 - Harvest, killing crop 50pct standing stubble<br/>",7
"8","4910","Wheat (winter)","4910: managements\CMZ 08\a.Single Year/Single Crop Templates\wheat,winter,CONV, cm8","Aug 15 - Plow, moldboard<br/>Aug 20 - Chisel, st. pt.<br/>Aug 31 - Fert applic. surface broadcast<br/>Sep 1 - Harrow, coiled tine<br/>Sep 25 - Drill or airseeder, double disk<br/>May 1 - Sprayer, post emergence<br/>Aug 1 - Harvest, killing crop 50pct standing stubble<br/>",170.18
"9","4921","Wheat (winter)","4921: managements\CMZ 10\a.Single Year/Single Crop Templates\Wheat, winter, early plant, NT, Z10","Sep 18 - Sprayer, post emergence<br/>Sep 20 - Drill or air seeder single disk openers, + fert. opnrs 7-10 in spac.<br/>May 1 - Fert applic. surface broadcast<br/>May 15 - Sprayer, post emergence<br/>Aug 15 - Harvest, killing crop 50pct standing stubble<br/>",6.2
"10","4923","Wheat (winter)","4923: managements\CMZ 10\a.Single Year/Single Crop Templates\Wheat, winter, early plant, conv, fplow, Z10","Sep 16 - Plow, moldboard<br/>Sep 17 - Disk, tandem secondary op.<br/>Sep 18 - Fert applic. anhyd knife 12 in<br/>Sep 20 - Drill or air seeder single disk openers 7-10 in spac.<br/>May 1 - Fert applic. surface broadcast<br/>May 15 - Sprayer, post emergence<br/>Aug 15 - Harvest, killing crop 50pct standing stubble<br/>",144.18
