"","id","name"
"1","1","Clay"
"2","2","Clay loam"
"3","13","Coarse sand"
"4","14","Coarse sandy loam"
"5","15","Fine sand"
"6","16","Fine sandy loam"
"7","3","Loam"
"8","17","Loamy course sand"
"9","4","Loamy sand"
"10","18","Loamy fine sand"
"11","19","Loamy very fine sand"
"12","5","Sand"
"13","6","Sandy clay"
"14","7","Sandy clay loam"
"15","9","Silt"
"16","11","Silty clay"
"17","12","Silty clay loam"
"18","10","Silt loam"
"19","8","Sandy loam"
"20","20","Very fine sand"
"21","21","Very fine sandy loam"
