"","id","name"
"1","1","Wildlife habitat"
"2","2","Aesthetics/recreation (includes fishing)"
"3","3","Cattle watering using external trough or other external system"
"4","4","Aquaculture"
"5","5","Cattle watering into pond using partial fencing"
"6","6","Flooding or erosion control"
"7","7","Irrigation"
"8","8","Cattle watering into pond with unlimited access"
