"","id","name","default_units"
"1","1","E10 Gasoline","gal"
"2","2","B100, Biodiesel","gal"
"3","3","Diesel","gal"
"4","4","E85 Gasoline","gal"
"5","7","Gasoline Regular Unleaded","gal"
"6","8","kerosene","gal"
"7","9","LP Butane","gal"
"8","11","Propane, LPG","gal"
"9","12","Methanol","gal"
"10","15","Natural Gas","cu_ft"
"11","16","B5 Biodiesel","gal"
"12","17","B20 Biodiesel","gal"
"13","18","Compressed Natural Gas (CNG)","GGE"
